actor_id,name,birthYear,deathYear,primaryProfession
nm0160429,Angela Christlieb,\N,\N,"editor,director,writer"
nm0160865,Norman Chu,1955,\N,"actor,miscellaneous,director"
nm0161133,Jeon Do-yeon,1973,\N,actress
nm0161446,John Churchill,\N,\N,"actor,writer,producer"
nm0161538,Mike Chute,\N,\N,"stunts,actor,producer"
nm0161607,Andrzej Chyra,1964,\N,"actor,assistant_director"
nm0161729,Ivana Chýlková,1963,\N,"actress,soundtrack"
nm0161809,Anna Maria Cianciulli,\N,\N,"actress,producer,director"
nm0161910,Consuelo Ciatti,\N,\N,actress
nm0161970,Robert Cicchini,1959,\N,"actor,director,producer"
nm0161980,Jude Ciccolella,1947,\N,"actor,soundtrack"
nm0162307,Jana Cilliers,\N,\N,"actress,director"
nm0162408,Davide Cincis,\N,\N,"assistant_director,actor,director"
nm0162502,Luís Miguel Cintra,1949,\N,"actor,writer,miscellaneous"
nm0163319,June Claman,1930,2021,actress
nm0163794,Craig Clark,1960,\N,"animation_department,art_department,actor"
nm0163988,Clark Gregg,1962,\N,"actor,director,writer"
nm0164214,Linda Clark,\N,\N,actress
nm0164766,Gary Clarke,1933,\N,"actor,writer,director"
nm0164845,Kathy Kiera Clarke,\N,\N,actress
nm0164995,Sharon D. Clarke,1966,\N,"actress,soundtrack"
nm0165145,Robert Clary,1926,2022,"actor,soundtrack"
nm0165379,Andrea Clavadetscher,\N,\N,"director,actress,composer"
nm0165442,François Clavier,\N,\N,actor
nm0165455,Víctor Clavijo,1973,\N,actor
nm0165651,Adam Clayton,1960,\N,"soundtrack,actor,composer"
nm0165870,Shannon Hart Cleary,1975,\N,actress
nm0166055,Thomas Clemens,1970,\N,actor
nm0166452,Corinne Cléry,1950,\N,actress
nm0166472,Chris Cleveland,\N,\N,"actor,stunts,producer"
nm0166559,Clara Cleymans,1989,\N,actress
nm0166560,Jelle Cleymans,1985,\N,actor
nm0166759,Lin Clifton,\N,\N,"actress,writer,miscellaneous"
nm0167005,Cédric Clodic,\N,\N,"actor,writer"
nm0167024,Robert Clohessy,1957,\N,"actor,producer"
nm0167388,François Cluzet,1955,\N,"actor,soundtrack"
nm0167408,K.C. Clyde,1980,\N,"actor,producer,assistant_director"
nm0167878,Ron Cobert,\N,\N,"producer,actor,editor"
nm0168143,Chad Addison,\N,\N,"actor,writer,assistant_director"
nm0168275,Sorin Cocis,\N,\N,actor
nm0168783,Anne Coesens,1968,\N,"actress,writer"
nm0168784,Antoine Coesens,\N,\N,actor
nm0168942,Francis Coffinet,1956,\N,"actor,writer"
nm0169777,Silvia Cohen,1959,\N,actress
nm0169934,Mindy Cohn,1966,\N,"actress,soundtrack,producer"
nm0169961,Jean-Gabriel Cohn-Bendit,\N,\N,
nm0170168,Giorgio Colangeli,1949,\N,actor
nm0170381,Tim Colceri,1951,\N,"actor,director,casting_director"
nm0170461,Bradley Cole,1959,\N,actor
nm0170550,Gary Cole,1956,\N,"actor,miscellaneous"
nm0170559,Graham Cole,1952,\N,actor
nm0170648,Kimberly Lynn Cole,\N,\N,"actress,producer,stunts"
nm0170696,Michael Cole,1940,\N,"actor,soundtrack"
nm0170781,Sidney Cole,\N,\N,actor
nm0170819,Tina Cole,1943,\N,"actress,soundtrack,producer"
nm0170892,Francesco Colella,1974,\N,"actor,writer"
nm0171206,Rosalyn Coleman,1965,\N,"actress,director,writer"
nm0171499,Grégoire Colin,1975,\N,"actor,director,writer"
nm0171513,Margaret Colin,1958,\N,actress
nm0171674,Kenneth Collard,\N,\N,"actor,writer,soundtrack"
nm0171762,Jordi Collet,1967,\N,"actor,composer,sound_department"
nm0171811,Yann Collette,1956,\N,actor
nm0171896,Don Collier,1928,2021,"actor,producer"
nm0172258,David Collins,1962,\N,"actor,miscellaneous"
nm0172552,Michelle Collins,1962,\N,"actress,soundtrack"
nm0172702,Suzanne Collins,1978,\N,actress
nm0172869,Mark Collver,\N,\N,actor
nm0173106,Adrian Colon,\N,\N,"actor,producer,miscellaneous"
